id,hotel,link,cusine,rating,price_for_one
1,Ovenstory Pizza,https://www.zomato.com/bangalore/ovenstory-pizza-indiranagar/order,"Pizza, Fast Food",4.3,₹300 for one
2,Empire Restaurant,https://www.zomato.com/bangalore/empire-restaurant-1-brigade-road/order,"North Indian, Biryani, Kebab, Chinese, South Indian, Mughlai, Beverages",4.0,₹300 for one
3,Leon's Burgers & Wings,https://www.zomato.com/bangalore/leons-burgers-wings-frazer-town-bangalore/order,"Burger, Fast Food, Wraps, Street Food, Desserts, Beverages",4.3,₹300 for one
4,Truffles,https://www.zomato.com/bangalore/truffles-2-st-marks-road/order,"Burger, American, Bakery, Italian, Oriental, Continental, Beverages, Desserts",4.4,₹300 for one
5,Domino's Pizza,https://www.zomato.com/bangalore/dominos-pizza-indiranagar/order,"Pizza, Fast Food, Desserts, Beverages",4.1,₹300 for one
6,Biriyani Zone,https://www.zomato.com/bangalore/biriyani-zone-cv-raman-nagar-bangalore/order,"Biryani, North Indian, Chinese, Mughlai, Kebab, Seafood, Ice Cream, Beverages",3.9,₹300 for one
7,Sri Udupi Park,https://www.zomato.com/bangalore/sri-udupi-park-airport-road-bangalore/order,"South Indian, North Indian, Chinese, Street Food, Beverages, Ice Cream, Shake",3.7,₹300 for one
8,LeanCrust Pizza- ThinCrust Experts,https://www.zomato.com/bangalore/leancrust-pizza-thincrust-experts-indiranagar-bangalore/order,"Pizza, Fast Food, Beverages, Desserts",4.4,₹300 for one
9,Meghana Foods,https://www.zomato.com/bangalore/meghana-foods-residency-road/order,"Biryani, Andhra, North Indian, Seafood",4.4,₹300 for one
10,McDonald's,https://www.zomato.com/bangalore/mcdonalds-ulsoor/order,"Burger, Fast Food, Beverages",3.8,₹200 for one
11,KFC,https://www.zomato.com/bangalore/kfc-cv-raman-nagar-bangalore/order,"Burger, Fast Food, Biryani, Desserts, Beverages",3.5,₹200 for one
12,Burger King,https://www.zomato.com/bangalore/burger-king-old-madras-road-bangalore/order,"Burger, Fast Food, Beverages, Desserts",4.1,₹200 for one
13,Imperial Restaurant,https://www.zomato.com/bangalore/imperial-restaurant-residency-road/order,"Mughlai, North Indian, Biryani, Chinese, Seafood, Ice Cream, Desserts, Beverages",4.0,₹200 for one
14,Rotti Walla,https://www.zomato.com/bangalore/rotti-walla-indiranagar-bangalore/order,"North Indian, South Indian, Chinese, Mughlai, Biryani, Fast Food, Beverages, Desserts",3.9,₹200 for one
15,A2B - Adyar Ananda Bhavan,https://www.zomato.com/bangalore/a2b-adyar-ananda-bhavan-ulsoor-bangalore/order,"South Indian, Street Food, North Indian, Chinese, Fast Food, Beverages, Desserts",4.1,₹200 for one
16,Hyderabad Biryaani House,https://www.zomato.com/bangalore/hyderabad-biryaani-house-airport-road/order,"Biryani, North Indian, Hyderabadi, Mughlai, Chinese",4.0,₹200 for one
17,M.M.A Kabab and Rolls,https://www.zomato.com/bangalore/m-m-a-kabab-and-rolls-old-madras-road-bangalore/order,"North Indian, Mughlai, Chinese, Kebab, Rolls, Seafood, Arabian, Biryani",3.7,₹200 for one
18,Kailash Parbat,https://www.zomato.com/bangalore/kailash-parbat-commercial-street-bangalore/order,"North Indian, Street Food, Beverages",3.5,₹200 for one
19,Bhartiya Jalpan,https://www.zomato.com/bangalore/bhartiya-jalpan-commercial-street-bangalore/order,"North Indian, Street Food, Rajasthani, Bengali, Mithai, Beverages, Desserts",3.8,₹200 for one
20,Pizza Hut,https://www.zomato.com/bangalore/pizza-hut-airport-road/order,"Pizza, Fast Food, Desserts, Beverages",3.6,₹200 for one
21,Nandhini Deluxe,https://www.zomato.com/bangalore/nandhini-deluxe-frazer-town/order,"Andhra, Biryani, South Indian, North Indian, Chinese, Mughlai, Desserts, Beverages",4.0,₹200 for one
22,La Pino'z Pizza,https://www.zomato.com/bangalore/la-pinoz-pizza-koramangala-4th-block-bangalore/order,"Pizza, Fast Food",3.8,₹200 for one
